text,category
시간,1
그는 정시에,1
그가 늦었나요?,1
시간이 효율적인지,1
데이비드가 제시간에 도착했는지 여부,1
그는 걷는 대신 달릴 수 있었다.,1
그는 제시간에 사무실에 도착합니다.,1
1. 근무시간 5분전 사무실 입구 도착,1
2. 제 시간에 사무실 책상에 도착하기,1
3. 정시에 적절한 복장으로 사무실 책상/회의실에 도착,1
4. 제시간에 커피나 아침을 먹고 사무실에 도착,1
7. 근무 시간 5분 전에 사무실 책상에 도착,1
중요하지 않은 점은 제거하고 정시에 사무실에 도착하십시오.,1
1) 그는 출근 시간에 맞춰 사무실에 도착해야 합니다.,1
정시에 (David가 사무실에 있어야 할 시간이 지나지 않은 경우),1
그의 사무실에 도착하는 데 걸린 시간,1
시간 관리,1
정시에 사무실에 도착,1
도착 시간,1
그가 가장 빠른 교통 수단을 사용하는지 여부,1
그가 가능한 최단 경로를 사용하는지 여부,1
교통 체증에 걸리지 않는,1
정시에 사무실에 도착해야 합니다,1
정시에,1
"첫째, 이 사무실에 도착하는 방법의 성공을 정의하기 위해 첫 번째 기준은 정시에 도착할 것입니다. 따라서 그는 사무실에 빨리 갈 수 있는 가장 시간 효율적인 방법을 찾아야 합니다.",1
David가 정시에 도착하는지 여부,1
David가 사무실에 얼마나 일찍 도착했는지,1
동료나 상사가 David가 늦었다는 사실을 알게 되었는지 여부,1
여유롭게 도착할 수 있어서,1
만약 그가늦거나 말거나,1
얼마에 시각그는 도착했다,1
얼마나 많이돈 그는 거기에 가려면 돈을 써야 했다,1
그가 그곳에 도착했다면안전하게,1
얼마나 많이 노력그는 거기에 도착해야했다,1
그가 할 수 있었다면임무를 완수하다 그가 예정했던,1
만약 그가 그의 준비 제대로,1
얼마나 많이시각 그는 가졌다미리 출발/도착,1
다른 직원/상사의 경우지각 그의영향을 받지 않음/손상되지 않음,1
얼마나 걸렸어?,1
그는 그가 일하러 갈 때 도착했니?,1
상사가 눈치채면,1
근무 시간 또는 그 이전에 도달,1
올바른 사무실이나 건물에 성공적으로 도달,1
사고/위험 없이 도달 및 여행,1
"중요한 물건(노트북이나 프레젠테이션 데이터, 어젯밤에 한 중요한 과제 등)을 빠뜨리지 않음",1
그의 사무실에 도착하는 데 걸린 시간,1
사무실에 가는 가장 저렴한 방법,1
그는 몇 시에 사무실에 있어야 합니까,1
길을 따라 커피 한 잔을 마실 충분한 시간이 있습니다.,1
근무 시간 또는 그 이전에 도달,1
제 시간에 도착한다,1
아침부터 정신없었던 내 사정을 아무도 눈치 채지 못하게 한다,1
가장 효율적인 방법을 통해 제시간에 도착한다,1
